Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
3785;;2011-08;;30;"forestry certificate (permit) numbers 004/84 and 014/2004. 

Carbon Rights Agreement signed on March 14, 2011 between ERA Ecosystem Restoration Associates and the DRC government by its representative the Minister of Environment. This agreement transfers the carbon rights to ERA, and states the roles and obligations of the two parties to that agreement, the project time period, revenue sharing with the government, payment to communities, and tax to be paid by ERA to the government, in this case only the area tax is to be paid, exempting ERA from other taxes established by the Forestry Code.
Forest Conservation Concession Contract signed on July 30, 2011 by ERA-Congo and the Ministry of Environment representatives, which allocates the conceded lands to ERA-Congo, and defines ERA-Congo’s social, environmental and management obligations.
This contract is effect for 25 years and applies to the 299,640ha project area. After this period, the contract may be renewed on the terms contained in Article 8 of the Concession Contract. The 25-year contract will be renewed to complete the 30-year project crediting period."
3787;;2010-11-02;;60;
3799;;2008-05-12;;;
3815;;2012-07-12;;30;
3824;;2012-01-25;;25;
3832;;2012-06-25;;25;
3844;;;;50;
3848;;;;50;WAADL received a 50 year land concession of 20,000ha
3851;;;;50;
3866;;;;25;
3867;;;;25;
3880;;2013-08-06;;99;
3901;FMC-004;2009-09-16;2034-09-16;25;
3907;;2010-01-26;;30;
3911;;;;50;
3914;;;;50;
3915;;;;25;
3920;No. 595.1/225/HK-2012;2012-10-01;;;
3920;No. 595.1/166/HK-2007;2007-07-18;;;In 2007, the company obtained the first area concession issued by Landak Regent according to the Landak Regency’s Decree No. 595.1/166/HK-2007 dated 18 July 2007 which covering area of 20,000 ha. T
3925;;;;55;
3948;;;;50;
3949;;2007-05-09;;30;
3971;;;;50;
3972;;2011-11-01;;;
3986;;;;99;The Sudanese government stipulated a 99-year renewable lease for 87,200 ha of land.
3993;;2009-06-24;;30;
4015;;2006-03-29;;30;The contract is valid for 30 years with an option for extension, which is unspecified in time.
4059;;2009-06-03;;25;
4061;;;;99;The company website states a 99-year lease.
4063;;;;;"Planted Area - 2616 ha
Harvest Cycle - 10 years
Harvest - 2022"
4102;;;;25;
4223;;2011-03-21;;30;
4224;;2011-03-21;;30;
4234;;2011-09-10;;;
4271;;;;50;
4277;;;;49;
4305;;;;99;
4341;;2012;;50;"""The lease is for 50yrs from 2012. However, the registration remains incomplete due to the litigations."" (from interview with investor by CLPI)"
4380;;;;90;
4384;;;;50;
4422;;2008-10-08;;70;
4428;;2011-02-22;;;
4432;;;;25;
4434;;;;25;
4439;;2010-12-07;;;
4445;;2012-01-26;;;
4447;;2010-05-06;;;
4453;;2012-06-08;;;
4454;;2011-05-30;;70;
