Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
"56","Dominican Republic","23018","Total Credit","6183","Value Local Currency, 2015 prices","millions",,,,,,,,,,,"154852.000000","","184824.000000","","293778.000000","","358326.000000","","427761.000000","","491739.000000","","525654.000000","","507362.000000","","320679.000000","","345341.000000","","366779.000000","","444619.000000","","453382.000000","","476293.000000","","546251.000000","","569618.000000","","572620.000000","","630241.000000","","723031.000000","","794752.000000","","872155.000000","","920619.000000","","985242.000000","","1074609.000000","",,
"56","Dominican Republic","23018","Total Credit","6110","Value US$","millions",,,,,,,,,,,"2203.180980","","2801.778420","","4419.814289","","5291.302879","","6552.049394","","7783.553142","","8004.473978","","6155.802015","","4187.709331","","6592.317799","","6757.992854","","8716.509845","","9374.556738","","9840.578613","","11519.919800","","12666.948270","","13007.246670","","14101.602540","","16199.609460","","17640.897510","","19305.236020","","20579.451740","","22016.804810","","23763.596190","","22733.426080",""
"56","Dominican Republic","23018","Total Credit","6184","Value US$, 2015 prices","millions",,,,,,,,,,,"3437.000000","","4102.000000","","6521.000000","","7954.000000","","9495.000000","","10915.000000","","11668.000000","","11262.000000","","7118.000000","","7665.000000","","8141.000000","","9869.000000","","10064.000000","","10572.000000","","12125.000000","","12644.000000","","12710.000000","","13989.000000","","16049.000000","","17641.000000","","19359.000000","","20435.000000","","21869.000000","","23853.000000","",,
"58","Ecuador","23068","Credit to Agriculture, Forestry and Fishing","6109","Value Local Currency","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.525111","","26.740807","","50.781379","","44.842729","","95.024389","","135.210480","","114.700000","",,,,,,,"248.500871","","144.506496","","144.938669",""
"58","Ecuador","23068","Credit to Agriculture, Forestry and Fishing","6183","Value Local Currency, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.780335","","33.017255","","58.344990","","48.760647","","98.420180","","135.838052","","111.842426","",,,,,,,"234.933463","","136.851048","","134.438985",""
"58","Ecuador","23068","Credit to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.525111","","26.740807","","50.781379","","44.842729","","95.024389","","135.210480","","114.700000","",,,,,,,"248.500871","","144.506496","","144.938669",""
"58","Ecuador","23068","Credit to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.780335","","33.017255","","58.344990","","48.760647","","98.420180","","135.838052","","111.842426","",,,,,,,"234.933463","","136.851048","","138.538204",""
"58","Ecuador","23068","Credit to Agriculture, Forestry and Fishing","61132","Share of Total Credit US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.105959","Fc","6.097776","Fc","7.497399","Fc","6.613159","Fc","8.090220","Fc","8.587139","Fc","7.620250","Fc","7.681633","Fc","7.585565","Fc","7.707086","Fc","14.222754","Fc","7.761909","Fc","7.350242","Fc"
"58","Ecuador","23068","Credit to Agriculture, Forestry and Fishing","6159","Agriculture orientation index US$","index",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.681037","Fc","0.615071","Fc","0.770298","Fc","0.688791","Fc","0.936107","Fc","0.979223","Fc","0.834958","Fc","0.812454","Fc","0.796885","Fc","0.826120","Fc","1.589264","Fc","0.862737","Fc",,
"58","Ecuador","23067","Credit to Agriculture and Forestry","6109","Value Local Currency","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.003703","","18.100000","","21.400000","","22.200000","","70.687882","","94.260787","","79.800000","",,,,,,,,,,,,
